date,product,category,quantity,unit_price,revenue,region,salesperson
2024-01-01,Widget A,Electronics,50,29.99,1499.50,North,Alice Johnson
2024-01-01,Gadget B,Electronics,30,49.99,1499.70,South,Bob Smith
2024-01-02,Widget A,Electronics,45,29.99,1349.55,East,Charlie Brown
2024-01-02,Widget C,Home,60,19.99,1199.40,West,Diana Prince
2024-01-03,Gadget B,Electronics,25,49.99,1249.75,North,Alice Johnson
2024-01-03,Widget A,Electronics,55,29.99,1649.45,South,Bob Smith
2024-01-04,Widget C,Home,70,19.99,1399.30,East,Charlie Brown
2024-01-04,Gadget D,Home,40,39.99,1599.60,West,Diana Prince
2024-01-05,Widget A,Electronics,65,29.99,1949.35,North,Alice Johnson
2024-01-05,Gadget B,Electronics,35,49.99,1749.65,South,Bob Smith
2024-01-06,Widget C,Home,50,19.99,999.50,East,Charlie Brown
2024-01-06,Gadget D,Home,45,39.99,1799.55,West,Diana Prince
2024-01-07,Widget A,Electronics,40,29.99,1199.60,North,Alice Johnson
2024-01-07,Widget B,Electronics,55,34.99,1924.45,South,Bob Smith
2024-01-08,Gadget B,Electronics,30,49.99,1499.70,East,Charlie Brown
2024-01-08,Widget C,Home,65,19.99,1299.35,West,Diana Prince
2024-01-09,Widget A,Electronics,70,29.99,2099.30,North,Alice Johnson
2024-01-09,Gadget D,Home,50,39.99,1999.50,South,Bob Smith
2024-01-10,Widget B,Electronics,45,34.99,1574.55,East,Charlie Brown
2024-01-10,Widget C,Home,55,19.99,1099.45,West,Diana Prince
2024-01-11,Gadget B,Electronics,40,49.99,1999.60,North,Alice Johnson
2024-01-11,Widget A,Electronics,60,29.99,1799.40,South,Bob Smith
2024-01-12,Widget C,Home,75,19.99,1499.25,East,Charlie Brown
2024-01-12,Gadget D,Home,35,39.99,1399.65,West,Diana Prince
2024-01-13,Widget B,Electronics,50,34.99,1749.50,North,Alice Johnson
2024-01-13,Widget A,Electronics,55,29.99,1649.45,South,Bob Smith
2024-01-14,Gadget B,Electronics,45,49.99,2249.55,East,Charlie Brown
2024-01-14,Widget C,Home,40,19.99,799.60,West,Diana Prince
2024-01-15,Widget A,Electronics,75,29.99,2249.25,North,Alice Johnson
2024-01-15,Gadget D,Home,55,39.99,2199.45,South,Bob Smith
2024-01-16,Widget B,Electronics,35,34.99,1224.65,East,Charlie Brown
2024-01-16,Widget C,Home,60,19.99,1199.40,West,Diana Prince
2024-01-17,Gadget B,Electronics,50,49.99,2499.50,North,Alice Johnson
2024-01-17,Widget A,Electronics,45,29.99,1349.55,South,Bob Smith
2024-01-18,Widget C,Home,55,19.99,1099.45,East,Charlie Brown
2024-01-18,Gadget D,Home,60,39.99,2399.40,West,Diana Prince
2024-01-19,Widget B,Electronics,40,34.99,1399.60,North,Alice Johnson
